URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/research-study-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.819",ResearchStudyStatus,ResearchStudyStatus,"Codes that convey the current status of the research study.","ConceptMap/eclaire-study-status-concept-map","hl7.fhir.r4.core"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-category-vs,0.3.0,draft,,EclaireCategoryVS,Value Set type pour spécifier la catégorie l'essai clinique,"Value Set pour spécifier la catégorie de l'essai clinique et préciser la réglementation ou le code regulation renseigner dans les bases de registre comme CTIS et EUDAMED.","StructureDefinition/eclaire-researchstudy","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-group-characteristic-kind-vs,0.3.0,draft,,EclaireGroupCharacteristicKindVS,Type de caractéristique Value Set,"Value Set du type de caractéristique pour le groupe de la population.","StructureDefinition/eclaire-group","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-reglementation-precision-vs,0.3.0,draft,,EclaireReglementationPrecisionVS,Précision sur la réglementation concernant l'essai Value Set,"Précision sur la réglementation concernant l'essai Value Set.",,"Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-regulation-code-vs,0.3.0,draft,,EclaireRegulationCodeVS,Code de régulation Value Set,"Code de régulation Value Set.",,"Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-outcome-type-vs,0.3.0,draft,,EclaireStudyOutcomeTypeVS,Type de conséquence Value Set,"Type de conséquence Value Set","StructureDefinition/eclaire-outcome-measure-r5","THO"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-phase-source-vs,0.3.0,draft,,EclaireStudyPhaseSourceVS,Value Set de la phase de l'essai tel que définie dans la base ECLAIRE,"Value Set de la phase de l'essai clinique tel qu'il est défini dans la base ECLAIRE","ConceptMap/eclaire-study-phase-concept-map","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-phase-vs,0.3.0,draft,,EclaireStudyPhaseVS,Value Set type de phase de l'essai clinique,"Value Set type de phase Eclaire de l'essai clinique.","ConceptMap/eclaire-study-phase-concept-map,StructureDefinition/eclaire-researchstudy","Internal,THO"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-population-vs,0.3.0,draft,,EclaireStudyPopulationVS,Caractérisation de la population Value Set,"Caractérisation de la population Value Set.","StructureDefinition/eclaire-group","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-status-vs,0.3.0,draft,,EclaireStudyStatusVS,Value Set Statut Eclaire de l'essai,"Value Set Statut Eclaire de l'essai clinique.","ConceptMap/eclaire-study-status-concept-map","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-study-title-type-vs,0.3.0,draft,,EclaireStudyTitleTypetVS,Type de titre Value Set,"Type de titre pour les essais cliniques Value Set (inspiré du Value Set de R5 : https://hl7.org/fhir/valueset-title-type.html)","StructureDefinition/eclaire-label-r5","Internal"
https://interop.esante.gouv.fr/ig/fhir/eclaire/ValueSet/eclaire-type-contact-vs,0.3.0,draft,,EclaireTypeContactVS,Type Contact Value Set,"Type de contact pour les essais cliniques Value Set.","StructureDefinition/eclaire-contact-type","Internal"
